cell_id,target_track,hotspot_score,bucket_count,observed_positive_buckets,top_features,cause_summary,feature_1,feature_1_display_name,feature_1_mean_shap,feature_1_mean_abs_shap,feature_2,feature_2_display_name,feature_2_mean_shap,feature_2_mean_abs_shap,feature_3,feature_3_display_name,feature_3_mean_shap,feature_3_mean_abs_shap
2362_18088,all_crash,0.9853079251630434,184,140,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21458886144547182,0.21458886144547182,is_night,nighttime conditions,0.11137913759679641,0.12772350020370082,rolling_recent_crash_count,recent crash recurrence,0.07702754844688334,0.07763905347297566
2356_18089,all_crash,0.980813239787234,141,114,"historic_cell_crash_total, rolling_recent_crash_count, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, recent crash recurrence, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.24159879043201707,0.24159879043201707,rolling_recent_crash_count,recent crash recurrence,0.09001006699013285,0.09121380953501988,prior_cell_crash_count,prior crash history,0.05834983735644753,0.05834983735644753
2360_18088,all_crash,0.9714118680694981,259,218,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21202859768541552,0.21202859768541552,is_night,nighttime conditions,0.10913788660863225,0.1261340306102432,rolling_recent_crash_count,recent crash recurrence,0.06753613701149123,0.06799170378471957
2381_18038,all_crash,0.9705169556302521,119,75,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.22719544755814994,0.22719544755814994,is_night,nighttime conditions,0.07071967482012714,0.09069957040142193,rolling_recent_crash_count,recent crash recurrence,0.06139903153304138,0.06376498463623556
2361_18088,all_crash,0.9674714401937984,258,211,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21205430202949094,0.21205430202949094,is_night,nighttime conditions,0.1055517881508781,0.12274781954302191,rolling_recent_crash_count,recent crash recurrence,0.07335830148426883,0.07380195126931881
2340_18024,all_crash,0.9669792497802199,91,58,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.22481204185303155,0.22481204185303155,is_night,nighttime conditions,0.102409020971369,0.1206810577338632,rolling_recent_crash_count,recent crash recurrence,0.0631475906842056,0.06458813212733362
2335_18003,all_crash,0.9641778619,100,58,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.2115443453588962,0.2115443453588962,is_night,nighttime conditions,0.11425943854785872,0.13413539109533842,rolling_recent_crash_count,recent crash recurrence,0.0486407534706753,0.050023603782264114
2374_18077,all_crash,0.9622635869879518,83,52,"historic_cell_crash_total, rolling_recent_crash_count, is_night","High predicted risk is mainly driven by long-run cell crash volume, recent crash recurrence, and nighttime conditions.",historic_cell_crash_total,long-run cell crash volume,0.22755786883025322,0.22755786883025322,rolling_recent_crash_count,recent crash recurrence,0.05391687820481265,0.05639520871736209,is_night,nighttime conditions,0.04124644042920146,0.06326629336538293
2338_18020,all_crash,0.9614322428915664,83,54,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.19336788589895298,0.19336788589895298,is_night,nighttime conditions,0.15053101139936367,0.16829665365085433,rolling_recent_crash_count,recent crash recurrence,0.048345891267714144,0.04935254204163447
2377_18085,all_crash,0.9585310217142857,105,57,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.20759725664703407,0.20759725664703407,is_night,nighttime conditions,0.12191819425606368,0.14084624748752025,rolling_recent_crash_count,recent crash recurrence,0.054677393020291655,0.05705784863225715
