cell_id,centroid_lat,centroid_lng,mean_probability,max_probability,bucket_count,observed_positive_buckets
2381_18038,40.732039013769615,-73.87052698363765,0.8097198478756537,0.9468569438036336,119,45
2356_18089,40.847579177427896,-73.94270970102075,0.7959569838854559,0.9319110210676882,141,101
2424_18048,40.753239403069806,-73.74282446366426,0.7671442215551548,0.9285932961066492,77,24
2391_18042,40.74075234253372,-73.84077022086673,0.7664317045941341,0.9487938732313292,115,43
2377_18085,40.83798483267428,-73.88059151043899,0.7531550823130598,0.9473655235502264,105,21
2366_18088,40.845051853653615,-73.91309400138654,0.7465018299557102,0.9119212051280102,109,31
2339_18009,40.667885663196,-73.99583452109484,0.713639280060723,0.93250061977584,95,29
2336_18014,40.6792217218482,-74.00453911895775,0.7122070622628225,0.8755808760683939,80,17
2362_18088,40.84516300326343,-73.92495454823208,0.6999842045050425,0.9276084353743688,184,65
2340_18024,40.70163741969564,-73.9923685551117,0.6832808445176817,0.8695938239183658,91,21
2364_18038,40.73252050573244,-73.92084867011408,0.6827344447762359,0.8624433410216418,73,16
2397_18064,40.790109410373205,-73.8221334196117,0.6809399211988917,0.8826852457203649,79,14
2372_18106,40.88541331484855,-73.89462952960803,0.6795737598335336,0.9096451217873128,52,10
2352_18028,40.71032923105794,-73.95672225957186,0.6679563109881596,0.882170192690562,72,8
2369_18102,40.87649151069992,-73.90367892183203,0.6575398588227684,0.907231630071942,40,7
2365_18070,40.80454870947359,-73.91671891008774,0.6550396859858884,0.8724357945659726,46,9
2403_18017,40.68409798481423,-73.80625143101395,0.6499466452787702,0.8353348532270286,73,22
2401_18021,40.69316579358297,-73.81200722880901,0.6376847372037279,0.8987314792616294,65,17
2414_18044,40.74455161204115,-73.7725989940823,0.637367197322551,0.8097120628325026,94,18
2356_18032,40.71922879523698,-73.94474332767784,0.633720618088654,0.8444399670827095,87,18
2382_18083,40.83333666089464,-73.86584441848305,0.6285980747294003,0.922925337606718,70,25
2372_18088,40.84488284335574,-73.8953033062348,0.6202223910413024,0.8800250350457743,56,11
2360_18073,40.8114421060712,-73.93142723694072,0.6197102596496619,0.8203401791034018,91,13
2371_18042,40.74133188843776,-73.89997946180863,0.6087642622005367,0.8165280668126588,98,18
2374_18108,40.88985964610647,-73.88862036551548,0.5998180145453635,0.742345320185234,67,6
2335_18003,40.65447681919031,-74.00786415858552,0.5996309759157818,0.7972539064289333,100,24
2400_18024,40.69995128815606,-73.81484579412088,0.5983620738974835,0.7858283526030915,74,19
2366_18095,40.86081383209984,-73.91283635534111,0.5909718969857172,0.871360116358437,61,13
2380_18038,40.732067943973945,-73.87348704893955,0.5732039040750532,0.7679770267335855,64,2
2417_18045,40.746708442516,-73.76367577263792,0.5704507854216746,0.7664019535870654,68,13
2364_18093,40.856366163422784,-73.91884125797458,0.5549541287019645,0.8536969155350126,60,10
2374_18077,40.82005717981628,-73.8897863912009,0.5518274182906862,0.845359214885735,83,19
2382_18038,40.73201000767371,-73.8675669226412,0.5462509656438248,0.7840844734930256,70,7
2293_17982,40.60818627607959,-74.13266360300858,0.545613593217154,0.78728580272887,57,12
2361_18036,40.72809965473948,-73.92980125602298,0.5431539698433449,0.8560400446029894,74,5
2408_18042,40.74023585400492,-73.79044375274852,0.535447930890573,0.7199590011718937,75,12
2387_18040,40.73636726173466,-73.85268931531012,0.531461597637425,0.7531307149445867,77,7
