cell_id,centroid_lat,centroid_lng,mean_probability,max_probability,bucket_count,observed_positive_buckets
2362_18088,40.84516300326343,-73.92495454823208,0.9853079251630434,0.998478,184,140
2356_18089,40.847579177427896,-73.94270970102075,0.980813239787234,0.99904484,141,114
2360_18088,40.84521812088431,-73.93088484640583,0.9714118680694981,0.997687,259,218
2381_18038,40.732039013769615,-73.87052698363765,0.9705169556302521,0.99878293,119,75
2361_18088,40.845190600172806,-73.92791969526583,0.9674714401937984,0.99951386,258,211
2340_18024,40.70163741969564,-73.9923685551117,0.9669792497802199,0.99926203,91,58
2335_18003,40.65447681919031,-74.00786415858552,0.9641778619,0.99913776,100,58
2374_18077,40.82005717981628,-73.8897863912009,0.9622635869879518,0.9986545,83,52
2338_18020,40.69268158966884,-73.9984211520869,0.9614322428915664,0.9972283,83,54
2377_18085,40.83798483267428,-73.88059151043899,0.9585310217142857,0.9988965,105,57
2366_18088,40.845051853653615,-73.91309400138654,0.9570686808256881,0.9988802,109,64
2344_18022,40.69702986146506,-73.9806019107827,0.9532315567058823,0.9993274,85,54
2414_18044,40.74455161204115,-73.7725989940823,0.9523117956382979,0.9989215,94,59
2396_18031,40.71583409304922,-73.82640345628998,0.9517036094964029,0.99742633,139,98
2355_18090,40.84985805620359,-73.945639278369,0.951419094528302,0.99925417,159,109
2339_18009,40.667885663196,-73.99583452109484,0.9509688517894737,0.99889106,95,59
2379_18084,40.83567544966842,-73.87470003800922,0.9502756916049383,0.9991393,81,51
2391_18042,40.74075234253372,-73.84077022086673,0.9460440152173913,0.99920064,115,68
2336_18014,40.6792217218482,-74.00453911895775,0.9439825895,0.9992561,80,49
2370_18035,40.72559781484389,-73.90319886809203,0.9424990186666667,0.99856937,105,68
2341_18024,40.70161155401856,-73.989409722506,0.939907135483871,0.99870336,93,51
2369_18088,40.84496769138389,-73.90419863492406,0.938559336701031,0.99839157,97,53
2364_18088,40.84510758085239,-73.91902426652872,0.9351012334939759,0.99916697,83,49
2361_18068,40.80015591175401,-73.92864468243938,0.9333070764071857,0.9990889,167,124
2401_18021,40.69316579358297,-73.81200722880901,0.9330979490769231,0.99899906,65,30
2392_18043,40.742974264703896,-73.83777060653829,0.9330298266371682,0.9987908,113,80
2424_18048,40.753239403069806,-73.74282446366426,0.93284005,0.9992575,77,42
2364_18070,40.80457649547484,-73.91968224075963,0.930787084520548,0.99908185,73,40
2339_18008,40.66563381953748,-73.99586829917084,0.9290775939759035,0.99925333,83,54
2338_18019,40.69042975392799,-73.99845487262257,0.9261270125301204,0.99959475,83,34
2356_18032,40.71922879523698,-73.94474332767784,0.9233689704597702,0.99825007,87,44
2359_18089,40.84749729461853,-73.93381390986332,0.923174004375,0.9983639,128,92
2405_18009,40.666023119999046,-73.80065857580509,0.921270575,0.99862754,118,87
2356_18090,40.84983091220228,-73.94267390619002,0.9207727528571429,0.9947613,119,84
2357_18090,40.84980369198957,-73.9397085380616,0.9204706893103448,0.9992374,116,79
2366_18095,40.86081383209984,-73.91283635534111,0.920175556557377,0.997584,61,20
2358_18089,40.84752466509319,-73.9367791695135,0.9181759625,0.99950147,80,51
2399_18026,40.70448501854194,-73.81772474520301,0.9179812046067416,0.99913555,89,41
2389_18042,40.74081166358809,-73.84669106688155,0.9162241983333334,0.99896026,102,61
2360_18073,40.8114421060712,-73.93142723694072,0.9150536486813188,0.99881244,91,32
2361_18036,40.72809965473948,-73.92980125602298,0.9130947091891891,0.99877244,74,34
2360_18076,40.818197325380815,-73.93131883245688,0.9121725387931034,0.99879277,58,27
2360_18080,40.82720427174648,-73.93117423590228,0.9095730812790698,0.99772865,86,41
2353_18052,40.76434531294121,-73.95291598015866,0.9061677283908046,0.9995715,87,44
2360_18082,40.83170773948029,-73.93110191308287,0.905231634516129,0.9990895,62,31
2408_18042,40.74023585400492,-73.79044375274852,0.9042380360000001,0.99842715,75,31
2339_18024,40.70166320955262,-73.9953273915537,0.9041600004411764,0.9992956,68,29
2361_18086,40.84068714768093,-73.92799226782616,0.9018730237878788,0.999079,66,30
2350_18048,40.75541845587929,-73.96194087275322,0.9006034002439025,0.9992428,82,46
2318_17980,40.60310408361296,-74.05885715051359,0.8992133526363636,0.9995895,110,75
2353_18091,40.852163855845504,-73.95153453702146,0.8985799557731958,0.99948764,97,59
